	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1.00	10.50	27.46	0.80	2.90	64.09	8.41	2.16	0.00	0.00	0.50	2.63	0.50	-1.00	0.00	0.00	-43.97	10.50	
2.00	374.30	11.21	0.80	2.30	21.33	9.82	0.45	0.00	0.00	0.61	1.76	0.60	-1.00	0.00	0.00	-14.79	67.10	
3.00	411.00	10.04	1.80	1.70	20.59	9.47	-1.20	0.00	0.00	1.20	2.31	1.10	-1.00	0.00	0.00	-6.68	103.80	
4.00	587.00	20.69	1.30	12.20	153.82	10.45	0.92	0.00	0.00	0.41	1.80	0.50	-1.00	0.00	0.00	-39.99	23.80	
5.00	590.90	22.18	5.20	8.40	167.16	11.37	-0.52	255.00	0.00	4.31	3.01	0.70	-1.00	0.00	0.00	-4.12	78.90	
6.00	672.80	11.91	0.80	4.80	44.82	8.16	2.19	0.00	0.00	0.69	3.99	0.60	-1.00	0.00	0.00	-13.87	32.80	
7.00	693.90	6.56	6.00	1.70	27.38	8.31	1.31	0.00	0.00	5.33	2.79	1.30	-1.00	0.00	0.00	-0.98	53.90	
8.00	824.80	6.75	3.20	0.70	11.72	8.79	0.38	0.00	0.00	2.16	0.86	0.70	-1.00	0.00	0.00	-2.50	56.80	
9.00	920.00	11.07	0.90	3.00	30.07	8.61	0.89	0.00	0.00	0.72	3.17	0.60	-1.00	0.00	0.00	-12.21	24.00	
10.00	926.90	7.32	0.50	2.60	15.14	3.38	1.42	0.00	0.00	0.32	2.10	0.30	-1.00	0.00	0.00	-18.38	107.70	
11.00	1273.30	18.01	0.80	3.60	51.89	11.01	0.12	0.00	0.00	0.34	2.46	0.50	-1.00	0.00	0.00	-42.54	121.30	
12.00	1620.00	11.37	0.70	1.60	15.03	11.50	0.88	0.00	0.00	0.49	1.43	0.40	-1.00	0.00	0.00	-18.73	32.80	
