	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1.00	1941.00	13.89	1.00	2.10	28.77	-0.82	0.08	0.00	0.00	0.85	2.32	0.80	-1.00	0.00	0.00	-13.09	661.00	
2.00	3555.50	23.85	0.80	2.10	45.38	-0.75	-0.70	0.00	0.00	0.63	2.37	0.60	-1.00	0.00	0.00	-30.35	995.50	
3.00	4933.90	11.25	1.10	2.10	24.78	0.11	-0.06	0.00	0.00	0.78	2.56	0.60	-1.00	0.00	0.00	-11.57	1093.90	
4.00	8736.80	10.22	1.80	2.10	17.54	0.76	-0.93	0.00	0.00	0.67	1.42	0.70	-1.00	0.00	0.00	-12.21	1056.80	
5.00	9905.70	13.00	1.30	2.10	27.37	0.32	-0.95	0.00	0.00	1.04	1.74	0.90	-1.00	0.00	0.00	-9.99	945.70	
6.00	10659.80	13.57	1.70	2.10	34.58	0.57	0.99	0.00	0.00	1.04	2.61	1.50	-1.00	0.00	0.00	-10.47	419.80	
7.00	11480.30	12.47	3.00	2.10	33.47	0.89	-0.61	0.00	0.00	1.19	2.84	0.90	-1.00	0.00	0.00	-8.39	1240.30	
8.00	16838.50	13.03	1.50	2.10	27.55	-0.03	0.32	0.00	0.00	1.23	2.05	0.90	-1.00	0.00	0.00	-8.45	198.50	
9.00	17921.10	24.01	1.10	2.10	44.52	-0.53	1.43	0.00	0.00	0.44	2.38	0.40	-1.00	0.00	0.00	-43.27	1.10	
10.00	18029.80	12.47	0.80	2.10	21.95	-1.01	2.02	0.00	0.00	0.68	0.79	0.70	-1.00	0.00	0.00	-14.58	109.80	
11.00	18890.80	14.04	1.30	2.10	29.25	-0.59	0.43	0.00	0.00	1.06	2.20	0.90	-1.00	0.00	0.00	-10.64	970.80	
12.00	22306.20	24.71	1.70	2.10	56.34	0.14	-1.83	0.00	0.00	0.58	2.70	0.80	-1.00	0.00	0.00	-33.94	546.20	
13.00	24436.00	20.83	1.30	2.10	43.51	1.10	0.17	0.00	0.00	0.55	2.49	0.50	-1.00	0.00	0.00	-30.04	116.00	
14.00	25301.70	11.26	2.40	2.10	32.14	0.06	-1.82	0.00	0.00	2.17	3.00	1.90	-1.00	0.00	0.00	-4.15	981.70	
15.00	27392.00	21.09	1.00	2.10	42.05	0.30	-0.13	0.00	0.00	0.38	2.37	0.40	-1.00	0.00	0.00	-44.24	512.00	
16.00	27473.80	11.83	1.80	2.10	28.23	-0.15	0.75	0.00	0.00	1.32	1.93	1.00	-1.00	0.00	0.00	-7.19	593.80	
17.00	27886.20	10.57	1.70	2.10	24.78	0.48	1.85	0.00	0.00	1.43	1.24	1.10	-1.00	0.00	0.00	-5.91	1006.20	
18.00	31161.90	12.78	1.00	2.10	28.70	0.26	0.93	0.00	0.00	0.64	2.82	0.90	-1.00	0.00	0.00	-15.96	441.90	
19.00	31785.20	18.81	0.60	2.10	29.15	-0.23	-0.79	0.00	0.00	0.43	1.67	0.40	-1.00	0.00	0.00	-35.31	1065.20	
20.00	32170.40	15.23	1.50	2.10	36.36	1.15	-0.91	0.00	0.00	1.14	3.02	1.10	-1.00	0.00	0.00	-10.64	170.40	
21.00	35500.50	14.08	2.10	2.10	38.04	0.31	0.76	0.00	0.00	1.86	3.41	1.50	-1.00	0.00	0.00	-6.07	940.50	
